"","URAU_CODE","URAU_NAME","CAPITAL_CI","CITY_IN_KE","CityAREA","FUAarea","CityPOP2012","PBAcity","DIScity","w1DIScity","UPcity","w2UDcity","LUPcity","WUPcity","POPfua2009","CityAreainFUA","POPproportioninCITY2009","POPch20062012","chPROPORTION20062006","UMZtoCITYarea","UMZtoFUAarea","AVEwTEMP","AVEcTEMP","Rain","Agriculture2012f","ContUrb2012c","ContUrb2012f","DiscontUrb2012f","DiscontUrb2012c","Industrial2012c","Industrial2012f","wetlands2012f","Vegetation2012f","Vegetation2012c","GreenUrb2012c","BARE2012c","BARE2012f","Forest2012f","Soviet","Coastal","NoHH","NoDwell2011","DWELLper100HH","CarsPer100pop","POLY","cluster"
"215","BG006C1","Ruse",0,0,129.650479748935,1339.49897955337,150.341,12.7197424292,47.0395412952,1.20990984366,598.330849263,0.302148415928,122.721014228,218.733210262,181.161,9.679027884901,84.7229812156038,-4.92569404920003,0.657336329557324,39.8147389041374,9.38858497988048,25.6,-2.9,52.45,263.190363630655,0.681624164917159,0.0659745929925554,4.94252010650434,10.5681793510392,10.139783112111,2.01718907426946,0.530224707070595,4.72983948105527,3.72952282796313,1.88501868992776,0,0.233424626362526,15.2719120107332,1,0,64.094,72.281,112.773426529784,59.31,68.5,7
"216","BG010C1","Dobrich",0,0,109.022028774182,1403.93884931369,91.408,9.3673147204,47.0132950228,1.20831583117,440.388330521,0.31738252449,124.496761771,168.888188813,115.17,7.76543998532963,80.2882695146306,-2.81534405035298,0.720050781549887,20.9865843236063,7.18692271029643,19.4,-2.814285714,50.72857143,27.7920595276233,0,0,4.85337819483779,8.56402459528475,9.69645998250287,1.4166131727337,0,2.2446754028252,3.2610172144792,1.49780462889953,0,0.0445983500460473,10.5793198669277,1,0,35.867,40.297,112.351186327265,52.99,68.5,7
"217","BG001C1","Sofia",1,0,450.024284464275,5716.90723378948,1206.2,24.3557191309,48.3895620986,1.28455914561,1178.56258334,0.121113978205,99.8424805173,183.358490164,1500.287,9.36565866569972,79.0953997468484,4.21049448579439,-0.0806383627741809,44.8331361140171,8.47293790490492,22.4,-5.1,52.05,42.4250767477446,1.47342508410271,0.115985277015858,5.60623520310046,22.9034368158701,12.1940497391988,1.67024946630193,0.342975521829527,19.2545799684144,15.1074423736903,5.48251161281724,0.561890348253439,1.65125352731548,160.232062504062,1,0,538.362,549.961,102.154498274395,65.49,68.5,5
"218","BG018C1","Vratsa",0,0,148.453083303223,706.07481866817,61.061,5.33081051746,46.2708571553,1.16119431242,246.661171975,0.472559082338,143.626864938,135.351104826,75.523,21.0251207631568,82.0756590707467,-3.65128205128205,0.702556171488808,10.2793419041561,6.46248793946077,19.4,-2.814285714,50.72857143,304.36047162524,0,0,3.98604544739119,4.72771439547289,4.71663581136191,1.56059195597485,0,13.9791738975374,18.093346492566,0.614787331857242,1.64688748650492,2.19859467496412,66.7649432402852,1,0,24.858,33.052,132.963231152949,65.69,68.5,7
"219","LT502C1","Šiauliai",0,0,81.1297506777287,81.1297506777287,112.974,14.2744991402,47.0963268097,1.21334089455,672.276476554,0.498451391752,147.202011082,406.587070137,121.408,100,100,-15.7287781590333,0,61.4447839215221,61.4447839215221,20.2,-6.366666667,66.96666667,444.513695280539,0,0,28.1318654981582,28.1318654981582,10.6701013255739,10.6701013255739,5.4715959924914,10.6554677717915,10.6554677717915,3.73034930782937,0,0,27.174080567404,1,0,48.164,51.791,107.53052072087,46.93,48.9,1
"220","LT004C1","Alytus",0,0,39.4924913161718,39.4924913161718,59.723,16.0900137637,46.1333025736,1.15206317906,742.285473375,0.498291975501,147.179478593,426.119247288,64.141,100,100,-15.6395225651529,0,60.0620503024252,60.0620503024252,20.2,-6.366666667,66.96666667,558.655368395955,0,0,31.0950755866181,31.0950755866181,14.5238452952444,14.5238452952444,0,2.04858627447058,2.04858627447058,15.0955313437184,1.90303950245523,1.90303950245523,57.8657351270774,1,0,24.299,25.985,106.938557142269,51.55,48.9,1
"221","LT002C1","Kaunas",0,0,156.977645404811,1620.67120667585,325.362,21.1687626606,47.7511340071,1.25109519513,1010.83242257,0.467971562904,143.009939698,591.819107794,420.945,9.68596497291928,81.4857047832852,-11.9489059984033,-0.691011350496154,80.3808718589258,11.5291737911015,18.53333333,-4.466666667,64.85666667,118.854192669526,1.13804756014305,0.110230888050618,7.18500433349706,41.6346827649314,14.4089988431256,2.15496124767205,0.727737365164828,6.77605767161153,6.19020409243069,12.3138295340416,0,0.0551479308491798,36.1912978208926,1,0,136.541,141.592,103.699255168777,51.75,48.9,7
"222","LT003C1","Panevežys",0,0,50.1804685203666,2228.07438883472,105.207,26.7219294563,48.002848956,1.26469145654,1282.72874351,0.68871202051,182.212210214,1117.26726469,146.921,2.25218999741795,75.6780855017322,-12.447884159281,0.565571437474205,77.2013517256753,3.40159199261018,18.53333333,-4.733333333,66.14666667,63.4506713992268,0,0,2.32445541294919,43.9654384180293,15.8856205819674,0.556138447919219,0.379366204223605,4.62097767926173,3.58495609286656,5.06106368799542,0,0,38.1296863140807,1,0,44.015,46.555,105.770759968193,50.87,48.9,7
"223","LT501C1","Klaipeda",0,0,88.2493458729913,88.2493458729913,164.235,18.947361104,47.5563286819,1.24021858589,901.066932314,0.486001206794,145.462294882,543.116047518,173.847,100,100,-12.7796748787832,0,47.9436981446782,47.9436981446782,20.2,-6.366666667,66.96666667,112.648106362593,0,0,32.5464055202021,32.5464055202021,11.0571534846768,11.0571534846768,0,8.26041488805195,8.26041488805195,2.25997999698655,9.36247617091647,9.36247617091647,41.083565971616,1,1,71.501,75.461,105.538384078544,48.75,48.9,1
"224","LT001C1","Vilnius",1,0,400.575957869933,4246.61546047233,551.722,10.6386947134,46.9402623365,1.20385336382,499.383120763,0.176719184256,107.608541983,106.240754862,696.811,9.43282860429701,80.0353323928583,-2.64800283733495,0.44851108260076,37.8030675643218,5.33554314274546,18.46666667,-5.5,68.73,50.8615345726386,1.11137364073823,0.104833970684173,3.48043396167693,22.5533594853165,7.4647546589052,0.969387221225437,0.958020249505282,6.13233469424578,3.21894553796179,6.23043048374942,0,0,44.9241320267967,1,0,231.438,233.606,100.936751959488,46.02,48.9,7
